Periodo,Bolivia,Carvajal – Sevillana,Estación móvil,Bosa,Suba,Ciudad Bolívar,Jazmín,Usme,Usaquén,Centro de Alto Rendimiento,Guaymaral,Colina,Tunal,Móvil Fontibón,Kennedy,Las Ferias,Fontibón,MinAmbiente,Puente Aranda,San Cristóbal
2015,N/A,87,N/A,N/A,47,N/A,N/A,N/A,30,28,31,N/A,43,N/A,66,35,N/A,34,53,26
2016,N/A,76,N/A,N/A,52,N/A,N/A,N/A,42,35,32,N/A,50,N/A,58,40,N/A,34,52,27
2017,N/A,66,N/A,N/A,50,N/A,N/A,N/A,37,31,28,N/A,43,N/A,55,37,N/A,30,47,28
2018,N/A,69,N/A,N/A,46,N/A,N/A,N/A,39,28,28,N/A,38,N/A,50,32,N/A,28,43,26
2019,N/A,56,52,N/A,46,N/A,N/A,N/A,25,27,25,N/A,34,N/A,44,28,37,29,40,25
2020,55,64,40,37,34,44,32,30,24,22,26,N/A,36,N/A,41,23,34,21,34,24
2021,33,68,35,N/A,30,37,30,35,N/A,22,26,N/A,35,47,43,22,33,20,32,21
2022,36,N/A,N/A,N/A,34,42,33,38,23,26,28,20,42,55,45,27,40,24,N/A,25
2023,31,69,32,N.A.,33,40,28,32,20,25,25,20,34,53,43,25,33,21,28,21
2024,36,70,35,N/A,36,40,31,34,23,25,32,22,36,57,47,26,31,26,32,25
