"Periodo","TUN","COL","MOV2","KEN","CBV","LFR","CSE","JAZ","FTB","MOV","USM","MAM","PTE","USQ","SCR","BOS","CDAR","BOL","GYR","SUB"
"2015","21","N/A","N/A","27","N/A","18","31","N/A","N/A","N/A","N/A","15","N/A","13","9","N/A","18","N/A","14","22"
"2016","23","N/A","N/A","30","N/A","19","30","N/A","N/A","N/A","N/A","18","23","17","10","N/A","20","N/A","16","22"
"2017","21","N/A","N/A","27","N/A","17","28","N/A","N/A","N/A","N/A","16","18","14","12","N/A","15","N/A","15","18"
"2018","20","N/A","N/A","24","N/A","15","30","N/A","N/A","N/A","N/A","14","17","13","12","N/A","14","N/A","14","16"
"2019","16","N/A","N/A","25","N/A","15","36","N/A","18","28","N/A","14","18","14","12","N/A","15","N/A","14","16"
"2020","16","N/A","N/A","22","23","14","29","16","20","22","15","13","21","14","12","16","14","18","14","15"
"2021","15","N/A","N/A","21","17","14","35","15","17","18","11","12","21","N/A","13","N/A","13","14","13","13"
"2022","20","11","22","21","20","16","N/A","17","19","N/A","14","15","16","13","15","N/A","15","16","15","16"
"2023","18","10","21","22","17","14","34","15","18","16","12","13","13","11","12","N/A","14","15","14","15"
"2024","17.3","12.4","20.7","19.3","17.5","16.1","33.2","16.5","20.7","14.8","13.7","15.7","15.1","11.7","12.5","N/A","13.3","11.3","15.1","16.6"
