PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,27.43,27.5,28.31,28.31,28.38,28.23,28.05,27.96,27.53,27.74,26.92,26.46,27.74
T2M,2011,26.55,26.52,26.73,27.57,27.78,28.21,27.99,28.17,27.98,27.18,27.51,26.72,27.41
T2M,2012,25.94,26.11,26.87,27.6,28.17,28.62,28.25,28.37,28.3,27.51,28.06,27.81,27.63
T2M,2013,26.75,27.22,27.43,28.12,28.06,28.22,28.42,28.32,28.05,28.03,27.67,27.48,27.81
T2M,2014,27.19,27.1,27.39,28.03,28.66,28.58,28.93,28.57,28.43,27.81,27.94,27.36,28.0
T2M,2015,26.82,27.54,27.17,27.94,28.01,28.38,27.99,28.49,28.69,28.45,27.94,28.14,27.96
T2M,2016,27.43,27.8,28.02,28.31,28.66,28.47,28.18,28.35,28.21,27.63,27.73,27.34,28.01
T2M,2017,26.24,26.92,27.51,28.29,28.1,28.13,27.89,28.16,28.28,28.13,27.68,27.43,27.73
T2M,2018,27.25,26.44,27.34,27.62,27.78,27.73,27.41,27.76,27.91,27.65,27.67,26.84,27.45
T2M,2019,26.5,27.09,27.02,28.11,28.12,28.3,27.96,28.5,28.56,28.16,27.97,27.84,27.84
T2M,2020,27.37,27.71,27.52,28.4,29.07,29.0,28.68,28.61,28.62,28.55,28.22,28.13,28.32
T2M,2021,26.87,27.14,26.96,27.51,28.56,28.98,28.82,28.83,28.95,28.82,28.34,27.82,28.13
T2M,2022,27.25,27.62,27.5,27.72,28.43,28.1,27.86,27.87,28.09,28.03,27.49,26.82,27.73
T2M_MAX,2010,32.92,33.34,33.45,33.39,32.92,32.06,32.12,31.44,31.09,31.53,30.17,29.69,33.45
T2M_MAX,2011,30.61,30.68,32.24,32.27,31.81,33.26,32.76,32.56,32.19,31.81,30.62,29.93,33.26
T2M_MAX,2012,29.86,30.75,31.69,31.73,33.09,33.83,32.62,32.17,31.89,32.71,31.68,32.04,33.83
T2M_MAX,2013,31.88,32.14,32.74,33.2,32.42,32.69,32.95,33.15,31.49,31.94,31.72,32.52,33.2
T2M_MAX,2014,31.55,31.66,32.75,32.82,33.37,34.02,34.04,34.09,33.42,32.21,31.57,31.72,34.09
T2M_MAX,2015,31.18,32.33,33.18,34.04,32.54,33.75,32.91,33.48,32.64,32.24,32.42,32.66,34.04
T2M_MAX,2016,32.94,32.71,33.52,32.52,32.8,32.45,33.64,32.89,31.66,33.78,31.12,31.17,33.78
T2M_MAX,2017,31.37,31.72,31.8,34.11,32.7,32.86,31.22,31.48,31.9,32.0,31.4,31.78,34.11
T2M_MAX,2018,31.58,30.75,34.22,32.56,32.35,32.1,31.59,32.59,31.56,30.94,31.07,31.07,34.22
T2M_MAX,2019,31.25,32.05,31.9,32.93,33.85,33.3,32.14,33.03,32.36,31.64,32.08,31.45,33.85
T2M_MAX,2020,32.65,33.33,32.01,33.45,34.23,34.03,33.06,32.8,32.9,33.26,32.38,32.16,34.23
T2M_MAX,2021,31.11,31.69,31.45,32.79,32.87,34.17,34.21,34.62,33.28,33.43,33.58,31.84,34.62
T2M_MAX,2022,31.8,31.92,31.94,32.79,33.69,32.49,31.51,32.57,31.67,31.98,30.87,30.58,33.69
T2M_MIN,2010,24.25,24.9,25.91,26.03,25.82,25.65,25.5,24.66,24.98,25.5,24.74,24.57,24.25
T2M_MIN,2011,24.24,23.37,23.91,25.02,23.83,25.35,24.83,26.01,24.93,24.48,25.1,23.75,23.37
T2M_MIN,2012,23.19,23.26,24.1,25.21,25.82,25.74,25.96,26.07,26.44,25.35,26.38,25.32,23.19
T2M_MIN,2013,23.34,24.32,25.15,25.62,25.28,25.82,26.13,25.56,25.61,25.72,25.34,24.3,23.34
T2M_MIN,2014,23.92,24.09,24.19,25.18,25.77,26.12,26.25,25.52,26.19,25.03,26.13,25.03,23.92
T2M_MIN,2015,23.85,24.58,24.31,25.54,25.73,25.84,25.48,26.34,26.15,25.52,24.79,24.95,23.85
T2M_MIN,2016,24.61,25.16,25.17,25.69,26.29,25.97,25.28,25.5,25.49,25.24,25.24,24.52,24.52
T2M_MIN,2017,22.72,23.3,25.07,25.79,25.77,26.06,25.49,25.83,25.89,25.35,25.1,24.67,22.72
T2M_MIN,2018,24.73,23.11,24.03,24.73,25.69,25.57,25.52,25.5,25.65,24.99,25.31,23.45,23.11
T2M_MIN,2019,23.66,23.95,24.11,25.43,25.75,26.01,25.19,26.15,26.24,25.89,25.75,25.73,23.66
T2M_MIN,2020,24.17,24.41,24.72,25.22,26.19,25.89,26.44,26.23,25.94,25.91,25.65,25.06,24.17
T2M_MIN,2021,23.31,23.87,22.88,25.17,25.87,26.7,25.81,26.04,26.13,25.68,25.61,25.12,22.88
T2M_MIN,2022,24.11,24.93,24.88,25.16,26.13,25.79,25.86,24.82,25.47,24.75,25.24,23.65,23.65
